index,ingredients,output,changelog
144,"Almond Base (Filtered Water, Almonds), Tricalcium Phosphate, Sea Salt, Gellan Gum, Dipotassium Phosphate, Xanthan Gum, Sunflower Lecithin, Vitamin A Palmitate, Vitamin D2, D-Alpha Tocopherol (Vitamin E)","almond base (filtered water, almond), tricalcium phosphate, sea salt, gellan gum, dipotassium phosphate, xanthan gum, sunflower lecithin, vitamin a palmitate, vitamin d2, d alpha tocopherol (vitamin e)","- almonds → almond (singular)
- d-alpha tocopherol → d alpha tocopherol (94%)"
145,"Unbleached Enriched Flours (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Palm Oil, Buttermilk Powder, Canola Oil (Ascorbic Acid and Rosemary Added to Preserve Freshness), Blueberries (Wild Blueberries, Sugar, Canola Oil, Natural Flavor, Malic Acid), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Strach, Monocalcium Phosphate), Freeze Dried Raspberries, Freeze Dried Blackberries, Natural Berry Flavored Pieces [Sugar, Vegetable Oil (Palm, Palm Kernel), Unbleached Wheat Flour, Blueberry and Carrot Juice (For Color), Natural Flavor, Soy Lecithin, Malic Acid], Salt, Baking Soda, Natural Flavor","unbleached enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, palm oil, buttermilk powder, canola oil (ascorbic acid and rosemary added to preserve freshness), blueberry (wild blueberry, sugar, canola oil, natural flavor, malic acid), baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), freeze dried raspberry, freeze dried blackberry, natural berry flavored piece (sugar, vegetable oil (palm, palm kernel), unbleached wheat flour, blueberry and carrot juice (for color), natural flavor, soy lecithin, malic acid), salt, baking soda, natural flavor","- unbleached enriched flours → unbleached enriched flour (singular)
- blueberries → blueberry (singular)
- wild blueberries → wild blueberry (singular)
- corn strach → corn starch (91%)
- freeze dried raspberries → freeze dried raspberry (singular)
- freeze dried blackberries → freeze dried blackberry (singular)
- natural berry flavored pieces → natural berry flavored piece (singular)"
146,"Unbleached Wheat Flour Olive Oil, Yeast, Barley Malt Flour, Salt","unbleached wheat flour olive oil, yeast, barley malt flour, salt",
147,"Water, Miso Broth (Miso [Water, Soybeans, Rice, Sea Salt, Koji Starter], Soy Sauce [Water, Soybeans, Salt, Alcohol], Ginger, Vegetable Puree [Carrot, Celery, Onion], Shiitake Powder, Yeast Extract), Ginger Juice, Salt","water, miso broth (miso (water, soybean, rice, sea salt, koji starter), soy sauce (water, soybean, salt, alcohol), ginger, vegetable puree (carrot, celery, onion), shiitake powder, yeast extract), ginger juice, salt","- soybeans → soybean (singular)
- soybeans → soybean (singular)"
148,"Wild Blueberries, Sugar, Sunflower Oil","wild blueberry, sugar, sunflower oil",- wild blueberries → wild blueberry (singular)
149,Pitted Dried Bing Cherries,pitted dried bing cherry,- pitted dried bing cherries → pitted dried bing cherry (singular)
150,"Champagne Vinegar, Orange Juice Concentrate, Sugar, Water, Muscat Grape Juice Concentrate","champagne vinegar, orange juice concentrate, sugar, water, muscat grape juice concentrate",
151,"Organic Cultured Pasteurized Reduced Fat Milk, Organic Strawberry Fruit Base (Organic Strawberries, Organic Cane Sugar, Organic Locust Bean Gum, Pectin, Natural Flavor, Carrot and Currant Juice Concentrate [For Color]), Live Active Cultures: L. Acidophilus, Bifidus, L. Bulgaricus, S. Thermophilus, L. Rhamnosus. Cultured After Pasteurization","organic cultured pasteurized reduced fat milk, organic strawberry fruit base (organic strawberry, organic cane sugar, organic locust bean gum, pectin, natural flavor, carrot and currant juice concentrate (for color)), live active cultures: l. acidophilus, bifidus, l bulgaricus, s thermophilus, l rhamnosus, cultured after pasteurization","- organic strawberries → organic strawberry (singular)
- l. bulgaricus → l bulgaricus (96%)
- s. thermophilus → s thermophilus (97%)
- l. rhamnosus → l rhamnosus (96%)"
152,"Dry Roasted Almonds, Less Than 1% Dry Roasted Cashews","dry roasted almond, less than 1% dry roasted cashew","- dry roasted almonds → dry roasted almond (singular)
- less than 1% dry roasted cashews → less than 1% dry roasted cashew (singular)"
153,"Dry Roasted Almonds, Less Than 1% Dry Roasted Cashews","dry roasted almond, less than 1% dry roasted cashew","- dry roasted almonds → dry roasted almond (singular)
- less than 1% dry roasted cashews → less than 1% dry roasted cashew (singular)"
154,"Cane Sugar, Yellow Mustard (Distilled Vinegar, Water, Mustard Seed), Distilled Vinegar, Tomato Puree (Water, Tomato Paste), Sea Salt, Corn Starch, Worcestershire Sauce (Distilled Vinegar, Molasses, Sea Salt, Sugar, Spices, Tamarind), Molasses, Spices, Garlic, Onion, Natural Smoke Flavor, Xanthan Gum","cane sugar, yellow mustard (distilled vinegar, water, mustard seed), distilled vinegar, tomato puree (water, tomato paste), sea salt, corn starch, worcestershire sauce (distilled vinegar, molasses, sea salt, sugar, spice, tamarind), molasses, spice, garlic, onion, natural smoke flavor, xanthan gum","- spices → spice (singular)
- spices → spice (singular)"
155,"Pasteurized Cultured Cream, Prepared Pumpkin, Pasteurized Cultured Skim Milk, Brown Sugar, Sugar, Cinnamon, Salt, and Stabilizers (Xanthan, Locust Bean, and Guar Gum)","pasteurized cultured cream, prepared pumpkin, pasteurized cultured skim milk, brown sugar, sugar, cinnamon, salt, and stabilizer (xanthan, locust bean, and guar gum)",- and stabilizers → and stabilizer (singular)
156,"Dried Onion, Toasted Onion, Sugar, Salt, Garlic, Black Pepper, Safflower Oil (To Prevent Separation), Citric Acid","dried onion, toasted onion, sugar, salt, garlic, black pepper, safflower oil (to prevent separation), citric acid",
157,Organic Dried Mango,organic dried mango,
158,"Ingredients: Skim Milk. Cream. Glucose Syrup (Corn), Cane Sugar, Sweetened Condensed Milk (Condensed Milk, Cane Sugar), Egg Yolks Caramelized Sugar (Cane Sugar, Water), Pectin, Sea Salt, Soy Lecithin, Natural Caramel Flavor, Baking Soda, Vanilla Extract","ingredients: skim milk, cream, glucose syrup (corn), cane sugar, sweetened condensed milk (condensed milk, cane sugar), egg yolk caramelized sugar (cane sugar, water), pectin, sea salt, soy lecithin, natural caramel flavor, baking soda, vanilla extract",- egg yolks caramelized sugar → egg yolk caramelized sugar (singular)
159,Canola Oil,canola oil,
160,"Unbleached Enriched Flours (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Semi-Sweet Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, Vanilla Extract), Canola Oil (Canola Oil, Ascorbic Acid [Vitamin C] and Rosemary Extract Added to Preserve Freshness), Palm Oil, Buttermilk Powder (Milk), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Natural Vanilla Powder, Salt, Baking Soda","unbleached enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, semi-sweet chocolate chip (sugar, chocolate liquor, cocoa butter, soy lecithin, vanilla extract), canola oil (canola oil, ascorbic acid (vitamin c), and rosemary extract added to preserve freshness), palm oil, buttermilk powder (milk), baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), natural vanilla powder, salt, baking soda","- unbleached enriched flours → unbleached enriched flour (singular)
- semi-sweet chocolate chips → semi-sweet chocolate chip (singular)"
161,"Sunflower Oil, Cherry Peppers, Shallots, Sweet Soy Sauce (Coconut Sugar, Black Soybeans, Salt, Water), Garlic, Lemongrass, Salt, Citric Acid","sunflower oil, cherry pepper, shallot, sweet soy sauce (coconut sugar, black soybean, salt, water), garlic, lemongrass, salt, citric acid","- cherry peppers → cherry pepper (singular)
- shallots → shallot (singular)
- black soybeans → black soybean (singular)"
162,Sea Salt Flakes,sea salt flake,- sea salt flakes → sea salt flake (singular)
163,"Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sprouted Wheat Berries, Raisins, Wheat Bran, Honey, Contains 2% or Less of Each of the Following: Wheat Gluten, Salt, Cultured Dextrose (For Added Freshness), Wheat Flour, Monocalcium Phosphate, Wheat Starch, Yeast, Ascorbic Acid, Cinnamon, Distilled Vinegar, Enzymes (Microbial), Vegetable Monoglycerides","unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sprouted wheat berry, raisin, wheat bran, honey, contain 2% or less of each of the following: wheat gluten, salt, cultured dextrose (for added freshness), wheat flour, monocalcium phosphate, wheat starch, yeast, ascorbic acid, cinnamon, distilled vinegar, enzyme (microbial), vegetable monoglyceride","- sprouted wheat berries → sprouted wheat berry (singular)
- raisins → raisin (singular)
- contains 2% or less of each of the following: wheat gluten → contain 2% or less of each of the following: wheat gluten (singular)
- enzymes → enzyme (singular)
- vegetable monoglycerides → vegetable monoglyceride (98%)"
164,"Cane Sugar, Coconut Oil, Maltodextrin, Matcha Green Tea, Whole Milk Powder, Non Fat Milk Powder, Malted Milk Powder (Barley Malt, Wheat Flour, Milk, Bicarbonate of Soda, Salt), Natural Flavors, Sodium Caseinate (A Milk Derivative), Tricalcium Phosphate, Guar Gum, Mono and Diglycerides, Silicon Dioxide, Salt","cane sugar, coconut oil, maltodextrin, matcha green tea, whole milk powder, nonfat milk powder, malted milk powder (barley malt, wheat flour, milk, bicarbonate of soda, salt), natural flavor, sodium caseinate (milk derivative), tricalcium phosphate, guar gum, mono and diglycerides, silicon dioxide, salt","- non fat milk powder → nonfat milk powder (97%)
- natural flavors → natural flavor (singular)
- a milk derivative → milk derivative (94%)"
165,"Freeze Dried Fuji Apples with Peel, Ascorbic Acid (Vitamin C For Freshness), Citric Acid","freeze dried fuji apple with peel, ascorbic acid (vitamin c for freshness), citric acid",- freeze dried fuji apples with peel → freeze dried fuji apple with peel (singular)
166,Organic Coconut Water,organic coconut water,
167,"Beets, Water, Red Wine Vinegar, Sugar, Spices, Extra Virgin Olive Oil, Sea Salt","beet, water, red wine vinegar, sugar, spice, extra virgin olive oil, sea salt","- beets → beet (singular)
- spices → spice (singular)"
168,"Coconut Water (From Concentrate), Aloe Vera Juice (Aloe Vera Inner Leaf Powder, Aloe Vera Juice with Pulp)","coconut water (from concentrate), aloe vera juice (aloe vera inner leaf powder, aloe vera juice with pulp)",
169,"Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Whey Powder (Milk), Toasted Coconut (Desiccated Coconut, Sugar, Dextrose, Salt), Organic Corn Flour, Expeller Pressed Canola Oil (Ascorbic Acid and Rosemary Added to Preserve Freshness), Leavening (Sodium Acid Pyrophosphate, Baking Soda), Non Fat Dry Milk, Sea Salt, Egg Yolk Powder, Buttermilk Powder (Milk), Natural Vanilla Powder, Natural Flavor, and Egg White Powder","unbleached enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, whey powder (milk), toasted coconut (desiccated coconut, sugar, dextrose, salt), organic corn flour, expeller pressed canola oil (ascorbic acid and rosemary added to preserve freshness), leavening (sodium acid pyrophosphate, baking soda), nonfat dry milk, sea salt, egg yolk powder, buttermilk powder (milk), natural vanilla powder, natural flavor, and egg white powder",- non fat dry milk → nonfat dry milk (97%)
170,"Prepared White Kidney Beans, Water, Salt and Calcium Chloride to Maintain Firmness","prepared white kidney bean, water, salt and calcium chloride to maintain firmness",- prepared white kidney beans → prepared white kidney bean (singular)
171,"Organic Pomegranate Juice, Organic Tart Cherry Juice, Organic Black Mulberry Juice, Organic Red Grape Juice, Organic Purple Carrot Juice, Organic Cranberry Juice, Organic Blueberry Juice","organic pomegranate juice, organic tart cherry juice, organic black mulberry juice, organic red grape juice, organic purple carrot juice, organic cranberry juice, organic blueberry juice",
172,"Almond Base (Filtered Water, Almonds), Tricalcium Phosphate, Sea Salt, Gellan Gum, Dipotassium Phosphate, Xanthan Gum, Sunflower Lecithin, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), D-Alpha Tocopherol (Vitamin E)","almond base (filtered water, almond), tricalcium phosphate, sea salt, gellan gum, dipotassium phosphate, xanthan gum, sunflower lecithin, vitamin a palmitate, ergocalciferol (vitamin d2), d alpha tocopherol (vitamin e)","- almonds → almond (singular)
- d-alpha tocopherol → d alpha tocopherol (94%)"
173,"Almond Base (Filtered Water, Almonds), Tricalcium Phosphate, Natural Vanilla Flavor with Other Natural Flavors, Sea Salt, Gellan Gum, Dipotassium Phosphate, Xanthan Gum, Sunflower Lecithin, Vitamin A Palmitate, Ergocalciferol (Vitamin D2), D-Alpha Tocopherol (Vitamin E)","almond base (filtered water, almond), tricalcium phosphate, natural vanilla flavor with other natural flavor, sea salt, gellan gum, dipotassium phosphate, xanthan gum, sunflower lecithin, vitamin a palmitate, ergocalciferol (vitamin d2), d alpha tocopherol (vitamin e)","- almonds → almond (singular)
- natural vanilla flavor with other natural flavors → natural vanilla flavor with other natural flavor (singular)
- d-alpha tocopherol → d alpha tocopherol (94%)"
174,"Coconut, Pineapple, Mango, Jackfruit, Rice Bran Oil, Sugar, Salt","coconut, pineapple, mango, jackfruit, rice bran oil, sugar, salt",
175,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream [Milk]), Brown Sugar, Pumpkin Puree, Palm Shortening, Glaze Icing (Powdered Sugar, Water), Sugar, Invert Sugar, Glycerine, Molasses, Cinnamon, Nutmeg, Salt, Clove, Baking Powder","enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter (cream (milk)), brown sugar, pumpkin puree, palm shortening, glaze icing (powdered sugar, water), sugar, invert sugar, glycerine, molasses, cinnamon, nutmeg, salt, clove, baking powder",
176,"Sugar, Brown Rice Flour (Rice Flour, Rice Bran), Semi-Sweet Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin [Emulsifier], Vanilla Extract), Cocoa (Processed with Alkali), Soybean Oil, Salt, Sodium Bicarbonate, Natural Flavor","sugar, brown rice flour (rice flour, rice bran), semi-sweet chocolate chip (sugar, chocolate liquor, cocoa butter, soy lecithin (emulsifier), vanilla extract), cocoa (processed with alkali), soybean oil, salt, sodium bicarbonate, natural flavor",- semi-sweet chocolate chips → semi-sweet chocolate chip (singular)
177,"Grade A Pasteurized Skim Milk, Coconut Cream Base (Cane Sugar, Modified Cornstarch, Dried Shredded Coconut, Natural Coconut Cream Flavor with Other Natural Flavors, Citric Acid), Live and Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei. Cultured After Pasteurization","grade apasteurized skim milk, coconut cream base (cane sugar, modified corn starch, dried shredded coconut, natural coconut cream flavor with other natural flavor, citric acid), live and active cultures: s. thermophilus, l bulgaricus, l acidophilus, bifidus, l casei, cultured after pasteurization","- grade a pasteurized skim milk → pasteurized skim milk (89%)
- modified cornstarch → modified corn starch (97%)
- natural coconut cream flavor with other natural flavors → natural coconut cream flavor with other natural flavor (singular)
- l. bulgaricus → l bulgaricus (96%)
- l. acidophilus → l acidophilus (96%)
- l. casei → l casei (93%)"
178,"Kale, Cashews, Tahini (Ground Sesame Seeds), Carrot Powder, Onion Powder, Cane Sugar, Lemon Juice Concentrate, Mustard Powder, Salt Garlic Powder","kale, cashew, tahini (ground sesame seed), carrot powder, onion powder, cane sugar, lemon juice concentrate, mustard powder, salt garlic powder","- cashews → cashew (singular)
- ground sesame seeds → ground sesame seed (singular)"
179,"Hatch Chile Peppers, Tomatillos (Tomatillos, Citric Acid [For Freshness]), Lime Juice Concentrate, Garlic Salt (Sea Salt, Garlic)","hatch chile pepper, tomatillo (tomatillo, citric acid (for freshness)), lime juice concentrate, garlic salt (sea salt, garlic)","- hatch chile peppers → hatch chile pepper (singular)
- tomatillos → tomatillo (singular)
- tomatillos → tomatillo (singular)"
180,"Whole Black Beans, Sunflower Oil, Rice, Salt, Calcium Carbonate, Vitamin C (Ascorbyl For Freshness)","whole black bean, sunflower oil, rice, salt, calcium carbonate, vitamin c (ascorbyl for freshness)",- whole black beans → whole black bean (singular)
181,"Organic Tomato Puree (Water, Organic Tomato Paste), Organic Sugar, Organic Jalapeno Puree (Organic Red Jalapeno Peppers, Sea Salt, Organic Distilled Vinegar, Calcium Chloride), Organic Distilled Vinegar, Organic Molasses, Natural Hickory Smoke Flavor, Organic Roasted Garlic, Organic Cornstarch, Organic Worcestershire Sauce (Organic Distilled Vinegar, Organic Molasses, Water, Organic Sugar, Sea Salt, Organic Caramel Color, Organic Garlic Powder, Organic Spices [Organic Allspice, Organic Nutmeg,Organic Clove, Organic Ginger], Organic Cayenne Peppers, Organic Black Pepper, Xanthan Gum), Organic Garlic Puree (Organic Garlic, Water), Organic Garlic Powder, Salt, Organic Onion Powder, Organic Caramel Color, Organic Garlic, Organic Habanero Pepper Powder, Xanthan Gum","organic tomato puree (water, organic tomato paste), organic sugar, organic jalapeno puree (organic red jalapeno pepper, sea salt, organic distilled vinegar, calcium chloride), organic distilled vinegar, organic molasses, natural hickory smoke flavor, organic roasted garlic, organic corn starch, organic worcestershire sauce (organic distilled vinegar, organic molasses, water, organic sugar, sea salt, organic caramel color, organic garlic powder, organic spice (organic allspice, organic nutmeg, organic clove, organic ginger), organic cayenne pepper, organic black pepper, xanthan gum), organic garlic puree (organic garlic, water), organic garlic powder, salt, organic onion powder, organic caramel color, organic garlic, organic habanero pepper powder, xanthan gum","- organic red jalapeno peppers → organic red jalapeno pepper (singular)
- organic cornstarch → corn starch (95%)
- organic spices → organic spice (singular)
- organic cayenne peppers → organic cayenne pepper (singular)"
182,"Marcona Almonds, Sunflower Oil, Black Truffle Sea Salt (Sea Salt, Dried Truffle, Truffle Flavor)","marcona almond, sunflower oil, black truffle sea salt (sea salt, dried truffle, truffle flavor)",- marcona almonds → marcona almond (singular)
183,"Water, Sugar, Ginger Juice, Lime Juice Concentrate, Lemon Juice Concentrate, Natural Ginger Ale Flavor, Natural Flavors, Ginger Extract","water, sugar, ginger juice, lime juice concentrate, lemon juice concentrate, natural ginger ale flavor, natural flavor, ginger extract",- natural flavors → natural flavor (singular)
184,"Organic Grade A Non-Homogenized Pasteurized Milk, Live and Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus and L. Casei. Cultured After Pasteurization","organic grade anon-homogenized pasteurized milk, live and active cultures: s. thermophilus, l bulgaricus, l acidophilus, bifidus and l. casei, cultured after pasteurization","- organic grade a non-homogenized pasteurized milk → non-homogenized pasteurized milk (74%)
- l. bulgaricus → l bulgaricus (96%)
- l. acidophilus → l acidophilus (96%)"
185,"Sprouted Buckwheat Groats, Sprouted Millet, Chia Seed, Golden Flax Seed, Organic Red Quinoa, Shelled Hemp Seed, Organic Amaranth","sprouted buckwheat groat, sprouted millet, chia seed, golden flaxseed, organic red quinoa, shelled hemp seed, organic amaranth","- sprouted buckwheat groats → sprouted buckwheat groat (singular)
- golden flax seed → golden flaxseed (97%)"
186,"Green Chile Peppers, Water, Contains Less Than 2% of Calcium Chloride, Citric Acid (Acidity Regulator), Salt","green chile pepper, water, contain less than 2% of calcium chloride, citric acid (acidity regulator), salt","- green chile peppers → green chile pepper (singular)
- contains less than 2% of calcium chloride → contain less than 2% of calcium chloride (singular)"
187,"Cooked Applewood Smoked Uncured Bacon No Nitrates or Nitrites Added Except For Those Naturally Occurring in Celery Powder (Pork Bellies, Water, Sodium Lactate, Salt, Turbinado Sugar, Spice Extractives [Cinnamon, Clove, Capsicum], Celery Powder), Onions, Dark Brown Sugar, Apple Cider Vinegar, Cane Sugar, Garlic Powder, Pectin, Citric Acid (For Freshness), Vegetarian Flavor (Natural Flavor [Contains Autolyzed Yeast Extract], Salt, Natural Smoke Flavor), Organic Caramel Color","cooked applewood smoked uncured bacon no nitrate or nitrite added except for those naturally occurring in celery powder (pork belly, water, sodium lactate, salt, turbinado sugar, spice extractive (cinnamon, clove, capsicum), celery powder), onion, dark brown sugar, apple cider vinegar, cane sugar, garlic powder, pectin, citric acid (for freshness), vegetarian flavor (natural flavor (contain autolyzed yeast extract), salt, natural smoke flavor), organic caramel color","- cooked applewood smoked uncured bacon no nitrates or nitrites added except for those naturally occurring in celery powder → cooked applewood smoked uncured bacon no nitrate or nitrite added except for those naturally occurring in celery powder (singular)
- pork bellies → pork belly (singular)
- spice extractives → spice extractive (singular)
- onions → onion (singular)
- contains autolyzed yeast extract → contain autolyzed yeast extract (singular)"
188,"White Sorghum Flour, Potato Starch, Cane Sugar, Tapioca Flour, Buttermilk Powder (Milk), Baking Powder (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate), Expeller Pressed Canola Oil, Sea Salt, Organic Vanilla Flavor, Natural Flavors, Xanthan Gum","white sorghum flour, potato starch, cane sugar, tapioca flour, buttermilk powder (milk), baking powder (sodium acid pyrophosphate, baking soda, monocalcium phosphate), expeller pressed canola oil, sea salt, organic vanilla flavor, natural flavor, xanthan gum",- natural flavors → natural flavor (singular)
189,Maple Water (Sap),maple water (sapp),- sap → sapp (86%)
190,"Water, Organic Jalapeno Pepper Puree, Tomatillo Puree, White Distilled Vinegar, Cane Sugar, Cilantro Puree (Cilantro, Vegetable Oil [Canola Oil And/Or Olive Oil], Citric Acid [For Freshness]), Salt, Garlic Puree (Garlic, Water), Garlic, Spinach Powder, Lime Juice Concentrate, Habanero Pepper Powder, Xanthan Gum","water, organic jalapeno pepper puree, tomatillo puree, white distilled vinegar, cane sugar, cilantro puree (cilantro, vegetable oil (canola oil and/or olive oil), citric acid (for freshness)), salt, garlic puree (garlic, water), garlic, spinach powder, lime juice concentrate, habanero pepper powder, xanthan gum",
191,"Organic Pitted Olives, Water, Salt, Organic Extra Virgin Olive Oil, Lactic Acid","organic pitted olive, water, salt, organic extra virgin olive oil, lactic acid",- organic pitted olives → organic pitted olive (singular)
192,"Organic Apple Puree, Ascorbic Acid (Vitamin C For Freshness)","organic apple puree, ascorbic acid (vitamin c for freshness)",
193,"Plantains, Palm Olein","plantain, palm olein",- plantains → plantain (singular)
194,"Organic Cane Sugar, Flour Blend (Gluten-Free Oat, Garbanzo/Chickpea, Sorghum, Tapioca, Fava and Potato Starch Flours), Organic Soy Milk (Soybeans, Water, Carrageenan), Vegan Chocolate Chips and Chunks (Sugar, Unsweetened Chocolate, Dextrose, Cocoa Butter, Soy Lecithin [Emulsifier], Natural Vanilla Extract), Cocoa, Palm Fruit Oil, Sunflower Oil, Sunflower Lecithin, Organic Vanilla Extract Expeller Pressed Canola Oil, Baking Soda, Potassium Bitartrate, Salt, Xanthan Gum, Calcium Carbonate, Cellulose Gum","organic cane sugar, flour blend (gluten-free oat, garbanzo/chickpea, sorghum, tapioca, fava and potato starch flour), organic soy milk (soybean, water, carrageenan), vegan chocolate chip and chunk (sugar, unsweetened chocolate, dextrose, cocoa butter, soy lecithin (emulsifier), natural vanilla extract), cocoa, palm fruit oil, sunflower oil, sunflower lecithin, organic vanilla extract expeller pressed canola oil, baking soda, potassium bitartrate, salt, xanthan gum, calcium carbonate, cellulose gum","- fava and potato starch flours → fava and potato starch flour (singular)
- soybeans → soybean (singular)
- vegan chocolate chips and chunks → vegan chocolate chip and chunk (singular)"
195,"Honey Roasted Cocoa Chili Peanuts (Peanuts, Sugar, Honey, Cocoa Powder [Processed with Alkali], Canola Oil, Cayenne Pepper [Cayenne Pepper, Silicon Dioxide {Anti-Caking Agent}], Salt, Xanthan Gum), Honey Roasted Cocoa Chili Almonds (Almonds, Sugar, Honey, Cocoa Powder [Processed with Alkali], Canola Oil, Cayenne Pepper [Cayenne Pepper, Silicon Dioxide {Anti-Caking}], Salt, Xanthan Gum), Pecans (Pecans, Canola Oil, Salt)","honey roasted cocoa chili peanut (peanut, sugar, honey, cocoa powder (processed with alkali), canola oil, cayenne pepper (cayenne pepper, silicon dioxide (anti caking agent)), salt, xanthan gum), honey roasted cocoa chili almond (almond, sugar, honey, cocoa powder (processed with alkali), canola oil, cayenne pepper (cayenne pepper, silicon dioxide (anti caking)), salt, xanthan gum), pecan (pecan, canola oil, salt)","- honey roasted cocoa chili peanuts → honey roasted cocoa chili peanut (singular)
- peanuts → peanut (singular)
- anti-caking agent → anti caking agent (94%)
- honey roasted cocoa chili almonds → honey roasted cocoa chili almond (singular)
- almonds → almond (singular)
- anti-caking → anti caking (91%)
- pecans → pecan (singular)
- pecans → pecan (singular)"
196,"Extra Virgin Olive Oil, Balsamic Vinegar (Contains Sulfites), Thyme Honey","extra virgin olive oil, balsamic vinegar (contain sulfite), thyme honey",- contains sulfites → contain sulfite (singular)
197,"Honey, Black Summer Truffle Pieces, Natural Mushroom Flavor","honey, black summer truffle piece, natural mushroom flavor","- black summer truffle pieces → black summer truffle piece (singular)
- black summer truffle piece → black summer truffle juice (REJECTED) (92%)"
198,"Wheat Flour, Olive Oil, Italian Extra Virgin Olive Oil, Salt, Yeast, Wheat Malt Flour","wheat flour, olive oil, italian extra virgin olive oil, salt, yeast, wheat malt flour",
199,Extra Virgin Olive Oil,extra virgin olive oil,
200,"Organic Tomato Puree, Organic Sugar, Organic White Vinegar, Salt, Organic Onion Powder, Organic Spices","organic tomato puree, organic sugar, organic white vinegar, salt, organic onion powder, organic spice",- organic spices → organic spice (singular)
201,"Butternut Puree, Water, Organic Soymilk (Water, Organic Soybeans), Cane Sugar, Sea Salt, Expeller Pressed Canola Oil, Rice Flour, Natural Flavor, Onion Powder, Garlic Powder, Ginger Powder","butternut puree, water, organic soy milk (water, organic soybean), cane sugar, sea salt, expeller pressed canola oil, rice flour, natural flavor, onion powder, garlic powder, ginger powder","- organic soymilk → soy milk (93%)
- organic soybeans → organic soybean (singular)"
202,"Sourdough Bread (Unbleached Enriched Flour [Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Water, Tomato Paste, Salt, Basil, Sundried Tomato), Three Cheese Blend (Parmesan Cheese [Cultured Milk, Animal Rennet, Salt], Asiago Cheese [Cultured Milk, Animal Rennet, Salt], White Cheddar Cheese [Pasteurized Milk, Cheese Cultures, Salt, Animal Rennet]), Butter, Garlic, White Pepper","sourdough bread (unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, tomato paste, salt, basil, dried tomato), three cheese blend (parmesan cheese (cultured milk, animal rennet, salt), asiago cheese (cultured milk, animal rennet, salt), white cheddar cheese (pasteurized milk, cheese culture, salt, animal rennet)), butter, garlic, white pepper","- sundried tomato → dried tomato (89%)
- cheese cultures → cheese culture (singular)"
203,"Organic Cultured Pasteurized Reduced Fat Milk, Organic Vanilla Bean Base (Organic Cane Sugar, Natural Flavor, Organic Locust Bean Gum, Pectin, Organic Vanilla Beans), Live Active Cultures: L. Acidophilus, Bifidus, L. Bulgaricus, S. Thermophilus, L. Rhamnosus. Cultured After Pasteurization","organic cultured pasteurized reduced fat milk, organic vanilla bean base (organic cane sugar, natural flavor, organic locust bean gum, pectin, organic vanilla bean), live active cultures: l. acidophilus, bifidus, l bulgaricus, s thermophilus, l rhamnosus, cultured after pasteurization","- organic vanilla beans → organic vanilla bean (singular)
- l. bulgaricus → l bulgaricus (96%)
- s. thermophilus → s thermophilus (97%)
- l. rhamnosus → l rhamnosus (96%)"
